image,name,price,description,features,latestUpdates
https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Thar/10745/1697697308167/front-left-side-47.jpg?tr=w-664,Mahindra Thar,Rs.11.25 - 17.60 Lakh,"City Mileage : 9 kmpl
Fuel Type : Diesel
Engine Displacement : 2184 cc
No. of Cylinders : 4
Max Power : 130.07bhp@3750rpm
Max Torque : 300Nm@1600-2800rpm
Seating Capacity : 4
Transmission Type : Automatic
Fuel Tank Capacity : 57 Litres
Body Type : SUV
Ground Clearance Unladen : 226 mm","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Alloy Wheels
Multi-function Steering Wheel","Price: The Mahindra Thar is priced from Rs 11.25 lakh to Rs 17.60 lakh (ex-showroom pan India). 
Variants: It is available in two broad variants: AX(O) and LX. 
Colour Options: Mahindra offers five colour options for the Thar: Everest White, Aquamarine, Red Rage, Napoli Black, and Galaxy Grey. 
Seating Capacity: It can seat up to four passengers.  
Engine and Transmission: The Thar gets three engine choices: 
 
  A 2-litre turbo-petrol engine (152 PS/300 Nm)  
  A 2.2-litre diesel engine (132 PS/300 Nm)  
 
Both the above engines are available with a 6-speed manual and a 6-speed automatic transmission. Additionally, the RWD model features a 1.5-litre diesel engine (118 PS/300 Nm) with a 6-speed manual transmission, while the turbo-petrol unit comes with either a 6-speed manual or 6-speed torque converter automatic. 
Features: Key features include a 7-inch touchscreen infotainment system supporting Android Auto and Apple CarPlay, cruise control, manual AC, steering-mounted controls, a washable interior floor, and detachable roof panels. 
Safety: Safety features include dual front airbags, hill descent control, traction control, rear parking sensors, and seat belt reminders for both the driver and front passengers. 
Rivals: The Mahindra Thar faces competition from the Force Gurkha and Maruti Suzuki Jimny, as well as similarly priced monocoque compact SUVs like the Hyundai Creta, Kia Seltos, MG Astor, Skoda Kushaq, Volkswagen Taigun, Toyota Hyryder, and Maruti Suzuki Grand Vitara. 
Mahindra Thar 5-door: The Mahindra Thar 5-door was recently seen struggling on slushy terrain. The Mahindra Thar 5-door will be launched this year. 
Mahindra Thar E: Patent images of the Mahindra Thar E have surfaced on the internet."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Punch/10681/1691392713058/front-left-side-47.jpg?tr=w-664,Tata Punch,Rs.6 - 10.20 Lakh,"ARAI Mileage : 18.8 kmpl
Fuel Type : Petrol
Engine Displacement : 1199 cc
No. of Cylinders : 3
Max Power : 86.63bhp@6000rpm
Max Torque : 115Nm@3250+/-100rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 366 Litres
Fuel Tank Capacity : 37 Litres
Body Type : SUV
Ground Clearance Unladen : 187 mm
Service Cost : Rs.4,712 Avg. of 5 years","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Fog Lights - Front
Alloy Wheels","Latest Update: We have detailed the waiting period of the Tata Punch in comparison to the Hyundai Exter, for March 2024. 
Price: The Punch is priced from Rs 6.13 lakh to Rs 10.20 lakh (ex-showroom Delhi). 
Variants: Tata offers it in four broad variants: Pure, Adventure, Accomplished, and Creative.  
Colour Options: Tata offers 7 colour options for the Punch: Tornado Blue, Calypso Red, Meteor Bronze, Atomic Orange, Tropical Mist, Daytona Grey, Orcus White. 
Seating Capacity: Tata’s micro SUV can seat up to 5 passengers. 
Boot Space: The Tata Punch offers a boot space of 366 litres. 
Ground Clearance: It offers a ground clearance of 187 mm. 
Engine and Transmission: The Tata Punch is powered by a 1.2-litre petrol engine (88 PS/115 Nm) mated to either a 5-speed manual or a 5-speed AMT. The CNG variants use the same engine mated only to a 5-speed manual to churn out 73.5 PS and 103 Nm (in CNG mode).  
Claimed Fuel Efficiency: 
 
  Petrol MT: 20.09 kmpl  
  Petrol AMT: 18.8 kmpl  
  CNG: 26.99 km/kg  
 
Features: Key features include a 7-inch touchscreen display with connected car technology, a 7-inch semi-digital instrument panel, automatic AC, and cruise control. 
Safety: On the safety front, the Punch gets dual front airbags, ABS with EBD, rear defoggers, rear parking sensors, a rear-view camera, a tyre pressure monitoring system (TPMS), and ISOFIX anchors. 
Rivals: The Tata Punch rivals the Hyundai Exter and Maruti Ignis. Considering its price, it also competes with a few variants of the Nissan Magnite and Renault Kiger. 
Tata Punch EV: The Tata Punch EV is now the official car of the Tata Women’s Premier League 2024. 
2025 Tata Punch: The Tata Punch facelift has been spied testing in India."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Nexon/11104/1697698470038/front-left-side-47.jpg?tr=w-664,Tata Nexon,Rs.8.15 - 15.80 Lakh,"ARAI Mileage : 24.08 kmpl
Fuel Type : Diesel
Engine Displacement : 1497 cc
No. of Cylinders : 4
Max Power : 113.31bhp@3750rpm
Max Torque : 260Nm@1500-2750rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 382 Litres
Body Type : SUV
Ground Clearance Unladen : 208 mm","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: The Tata Nexon CNG has been spied testing again ahead of its launch. It will be the first car in the country to offer a CNG powertrain with a turbo-petrol engine 
Price: It is priced from Rs 8.15 lakh to Rs 15.60 lakh. The Dark edition variants of the Nexon are priced from Rs 11.45 lakh to Rs 15.80 lakh (ex-showroom Delhi). 
Variants: Tata offers it in four broad variants: Smart, Pure, Creative, and Fearless. 
Colour Options: It comes in 5 colour options: Fearless Purple, Flame Red, Calgary White, Daytona Grey, and Atlas Black. 
Boot Space: It offers a boot space of 382 litres. 
Seating Capacity: The Nexon can seat up to five people. 
Ground Clearance: It has a ground clearance of 208mm. 
Engine and Transmission: The Tata Nexon gets both petrol and diesel engine options: a 1.2-litre turbo-petrol (120 PS/170 Nm) and a 1.5-litre diesel engine (115 PS/260 Nm). The former comes in 4 transmission options – 5-speed manual, 6-speed manual, 6-speed AMT and a new 7-speed dual clutch transmission (DCT) – whereas the diesel unit can be had with either a 6-speed manual or a 6-speed AMT. Tata has introduced more affordable AMT transmission variants of the Nexon. 
Features: Key features include a 10.25-inch touchscreen infotainment, 10.25-inch fully digital driver’s display, auto AC, wireless phone charging, ventilated and height-adjustable front seats, cruise control, and paddle shifters. It also gets a 9-speaker JBL sound system with a subwoofer and Harman-enhanced AudioworX. 
Safety: In terms of safety, it gets six airbags (as standard), hill assist, electronic stability program (ESP), tyre pressure monitoring system (TPMS) and a 360-degree camera. 
Rivals: The Tata Nexon rivals with the Kia Sonet, Mahindra XUV300, Renault Kiger, Maruti Suzuki Brezza, Nissan Magnite, Hyundai Venue, and the Skoda sub-4m SUV. 
Tata Nexon EV Facelift: The Tata Nexon EV has also been introduced in Dark edition variants."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Creta/8667/1705465218824/front-left-side-47.jpg?tr=w-664,Hyundai Creta,Rs.11 - 20.15 Lakh,"ARAI Mileage : 18.4 kmpl
Fuel Type : Petrol
Engine Displacement : 1482 cc
No. of Cylinders : 4
Max Power : 157.57bhp@5500rpm
Max Torque : 253Nm@1500-3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Fuel Tank Capacity : 50 Litres
Body Type : SUV
Ground Clearance Unladen : 190 mm","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: Hyundai has announced a voluntary recall for the Creta SUV. The variants powered by a 1.5-litre naturally aspirated petrol engine with the CVT automatic are affected by this recall. 
Price: The Creta is priced between Rs 11 lakh and Rs 20.15 lakh (introductory ex-showroom pan India). 
Variants: It is available in seven broad variants: E, EX, S, S(O), SX, SX Tech, and SX(O). 
Colour Options: The Creta is available in six monotone and one dual-tone colour options: Robust Emerald Pearl, Fiery Red, Ranger Khaki, Abyss Black, Atlas White, Titan Grey and Atlas White with black roof. 
Seating Capacity: It can accommodate five passengers. 
Engine and Transmission: The Hyundai Creta comes with three powertrain choices: 
 
  1.5-litre naturally aspirated petrol (115 PS/ 144 Nm): 6-speed MT, CVT  
  1.5-litre turbo-petrol (160 PS/ 253 Nm): 7-speed DCT  
  1.5-litre diesel (116 PS/ 250 Nm): 6-speed MT, 6-speed AT  
 
Claimed Fuel Efficiency: 
 
  1.5-litre petrol MT- 17.4 kmpl  
  1.5-litre petrol CVT- 17.7 kmpl  
  1.5-litre turbo-petrol DCT- 18.4 kmpl  
  1.5-litre diesel MT- 21.8 kmpl  
  1.5-litre diesel AT- 19.1 kmpl  
 
Features: The Creta facelift comes with features like 10.25-inch displays (one for the infotainment system and the other for instrumentation) and connected car technology. It is also equipped with dual-zone AC, an 8-speaker Bose sound system, a panoramic sunroof, wireless phone charging, an 8-way power-adjustable driver’s seat, and ventilated front seats. 
Safety: Safety features include six airbags, a 360-degree camera, electronic stability control, a tyre pressure monitoring system, and a few advanced driver assistance systems (ADAS). 
Rivals: The Hyundai Creta competes with Kia Seltos, Maruti Grand Vitara, Toyota Hyryder, Skoda Kushaq, Volkswagen Taigun, Citroen C3 Aircross, and Honda Elevate. 
Hyundai Creta N Line: Hyundai has launched the Creta N Line in India, starting from Rs 16.82 lakh (introductory, ex-showroom). We have detailed the differences between the Creta N Line and the Kia Seltos GT Line in real life images. 
Hyundai Creta EV: The Hyundai Creta EV has been spotted testing overseas with the same LED DRLs and new aerodynamic alloy wheels."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Scorpio/10764/1708522826716/front-left-side-47.jpg?tr=w-664,Mahindra Scorpio,Rs.13.59 - 17.35 Lakh,"Fuel Type : Diesel
Engine Displacement : 2184 cc
No. of Cylinders : 4
Max Power : 130bhp@3750rpm
Max Torque : 300Nm@1600-2800rpm
Seating Capacity : 7, 9
Transmission Type : Manual
Boot Space : 460 Litres
Fuel Tank Capacity : 60 Litres
Body Type : SUV","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Price: The Mahindra Scorpio Classic is priced between Rs 13.59 lakh and Rs 17.35 lakh (ex-showroom Delhi). 
Variants: It is available in two broad variants: S and S11.  
Colour Options: Mahindra offers five colour options for the Scorpio Classic: Galaxy Grey, Red Rage, Everest White, Diamond White and Stealth Black. 
Seating Capacity: It is available in 7- and 9-seater configurations. 
Engine and Transmission: The Scorpio Classic is powered by a 2.2-litre diesel engine, derived from the Scorpio N's less powerful diesel version, that makes 132 PS and 300 Nm, and is mated to a 6-speed manual gearbox. 
Features: Key features include a 9-inch touchscreen infotainment system, cruise control, and auto air-conditioning. 
Safety: Safety features include dual front airbags, and rear parking sensors. 
Rivals: The Scorpio competes with Hyundai Creta, Skoda Kushaq, MG Astor, Kia Seltos, Toyota Hyryder, Maruti Suzuki Grand Vitara, Volkswagen Taigun, and Citroen C3 Aircross."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Fortuner/10903/1695443447797/front-left-side-47.jpg?tr=w-664,Toyota Fortuner,Rs.33.43 - 51.44 Lakh,"City Mileage : 8 kmpl
Fuel Type : Diesel
Engine Displacement : 2755 cc
No. of Cylinders : 4
Max Power : 201.15bhp@3000-3400rpm
Max Torque : 500Nm@1600-2800rpm
Seating Capacity : 7
Transmission Type : Automatic
Boot Space : 296 Litres
Body Type : SUV
Service Cost : Rs.6,344 Avg. of 5 years","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Fog Lights - Front
Alloy Wheels","Price: The Toyota Fortuner is priced between Rs 33.43 lakh and Rs 51.44 lakh (ex-showroom Delhi). 
Variants: It is available in two broad trims, Standard and GR-S, along with a Legender variant. 
Colour Options: You can buy the Fortuner in seven monotone colours: Platinum White Pearl, Sparkling Black Crystal Shine, Phantom Brown, Super White, Attitude Black, Avant-Garde Bronze, and Silver Metallic. 
Seating Capacity: It can seat up to seven people. 
Engine and Transmission: The Toyota Fortuner features two engine options: 
 
  A 2.7-litre petrol engine (166 PS/245 Nm) with a 5-speed manual.  
  A 2.8-litre turbo-diesel engine (204 PS/500 Nm) with a 6-speed manual or automatic transmission. The diesel variant also offers an optional 4-wheel drive (4WD).  
 
Features: Key features include an 8-inch infotainment system supporting Android Auto and Apple CarPlay and connected car features. It also includes a 6-speaker sound system, wireless charger, kick-to-open powered tailgate, dual-zone AC, and cruise control. 
Safety: Safety features include seven airbags, vehicle stability control (VSC), traction control, and hill assist. 
Rivals: The Toyota Fortuner competes with the MG Gloster, Jeep Meridian, and the Skoda Kodiaq."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Brezza/10388/1694424068944/front-left-side-47.jpg?tr=w-664,Maruti Brezza,Rs.8.34 - 14.14 Lakh,"ARAI Mileage : 19.8 kmpl
City Mileage : 13.53 kmpl
Fuel Type : Petrol
Engine Displacement : 1462 cc
No. of Cylinders : 4
Max Power : 101.64bhp@6000rpm
Max Torque : 136.8Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 328 Litres
Fuel Tank Capacity : 48 Litres
Body Type : SUV
Ground Clearance Unladen : 198 mm
Service Cost : Rs.5,161 Avg. of 5 years","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Price: The Brezza is priced from Rs 8.34 lakh to Rs 14.14 lakh (ex-showroom Delhi). 
Variants: It is available in four variants: LXi, VXi, ZXi, and ZXi+. The CNG kit option is available on all but the ZXi+ variant. The ZXi and ZXi+ also come in Black editions. 
Colour Options: The Brezza is available in seven monotone and three dual-tone colour options: Sizzling Red, Brave Khakhi, Exuberant Blue, Pearl Midnight Black, Magma Grey, Splendid Silver, Pearl Arctic White, and combinations with Midnight Black and Arctic White Roof. 
Seating Capacity: It can seat up to five people. 
Boot Space: It has a boot space of 328 litres. 
Engine and Transmission: It is powered by a 1.5-litre petrol engine (103 PS/137 Nm), available with either a 5-speed manual or a 6-speed automatic transmission. The CNG variant, with reduced output (88 PS/121.5 Nm), comes only with a 5-speed manual. 
Claimed Fuel Efficiency: 
 
  Petrol MT: 17.38 kmpl (LXi, VXi)  
  Petrol MT: 19.89 kmpl (ZXi, ZXi+)  
  Petrol AT: 19.80 kmpl (VXi, ZXi, ZXi+)  
  CNG: 25.51 km/kg (LXi, VXi, ZXi)  
 
Features: The Brezza features a 9-inch touchscreen infotainment system with wireless Android Auto and Apple CarPlay, a 4-speaker sound system, paddle shifters (AT variants), a single-pane sunroof, ambient lighting, wireless phone charging, a heads-up display, and a 360-degree camera. 
Safety: Safety features comprise up to six airbags, electronic stability control (ESC), hill-hold assist, seat belt reminders for all passengers, ABS with EBD, and rear parking sensors. 
Rivals: The Brezza competes with the Kia Sonet, Renault Kiger, Mahindra XUV300, Nissan Magnite, Tata Nexon, Hyundai Venue, Maruti Fronx, and the Skoda sub-4m SUV."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XUV700/10789/1705388477954/front-left-side-47.jpg?tr=w-664,Mahindra XUV700,Rs.13.99 - 26.99 Lakh,"ARAI Mileage : 16.57 kmpl
Fuel Type : Diesel
Engine Displacement : 2198 cc
No. of Cylinders : 4
Max Power : 182.38bhp@3500rpm
Max Torque : 450Nm@1750-2800rpm
Seating Capacity : 5, 6, 7
Transmission Type : Automatic
Boot Space : 240 Litres
Fuel Tank Capacity : 60 Litres
Body Type : SUV","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: We have compared the specifications of the base-spec Mahindra XUV700 with those of the base-spec MG Hector. 
Price: The Mahindra XUV700 is priced from Rs 13.99 lakh to Rs 27 lakh (ex-showroom Delhi). 
Variants: It is available in three broad trims: MX, Luxury Pack, and AX. The AX trim further branches out into three sub-variants: AX3, AX5, and AX7. 
Colour Options: The Mahindra XUV700 comes in five colour choices: Everest White, Midnight Black, Napoli Black, Dazzling Silver, Red Rage. All the existing colours, including Electric Blue, are offered in dual-tone variants with a Napoli black roof. 
Seating Capacity: It is available in 5-, 6-, and 7-seater configurations. 
Engine and Transmission: The XUV700 gets two engine options: 
 
  A 2-litre turbo-petrol engine (200 PS/380 Nm)    
  A 2.2-litre diesel engine (up to 185 PS/450 Nm).   
 
Both are mated to either a 6-speed manual or a 6-speed automatic transmission. The top-spec AX7 and AX7 L trims are also available with an optional all-wheel-drive (AWD) system with the diesel automatic powertrain. 
Features: Key features onboard the XUV700 include a 10.25-inch touchscreen infotainment system, a 10.25-inch digital instrument cluster, a 6-way power driver's seat, and an impressive audio system with up to twelve speakers. Other features include a panoramic sunroof, dual-zone climate control, ventilated front seats, and built-in Alexa connectivity. 
Safety: Safety features include up to seven airbags, electronic stability program (ESP), and ISOFIX anchors. The top-end variant also comes equipped with advanced driver-assistance systems (ADAS) like autonomous emergency braking, lane-keeping assist, and adaptive cruise control, a tyre pressure monitoring system (TPMS) and a 360-degree camera. 
Rivals: The Mahindra XUV700 competes with rivals such as the Hyundai Alcazar, MG Hector Plus, and Tata Safari. In its 5-seater configuration, it rivals vehicles like the MG Hector, Tata Harrier, and Hyundai Creta. 
Mahindra XUV.e8: The Mahindra XUV.e8 has recently been spied testing, revealing some new design details."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XUV300/10770/1701855736841/front-left-side-47.jpg?tr=w-664,Mahindra XUV300,Rs.7.99 - 14.76 Lakh,"ARAI Mileage : 19.7 kmpl
City Mileage : 20 kmpl
Fuel Type : Diesel
Engine Displacement : 1497 cc
No. of Cylinders : 4
Max Power : 115.05bhp@3750rpm
Max Torque : 300Nm@1500-2500rpm
Seating Capacity : 5
Transmission Type : Automatic
Fuel Tank Capacity : 42 Litres
Body Type : SUV","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Price: The Mahindra XUV300 is priced between Rs 7.99 lakh and Rs 14.76 lakh (ex-showroom pan-India). 
Variants: The XUV300 comes in five broad variants: W2, W4, W6, W8 and W8(O). The TurboSport version is available on all trims except the base-spec W2. 
Colour Options: Mahindra offers three dual-tone and seven monotone exterior shades for the XUV300: Blazing Bronze Dual Tone, Napoli Black Dual Tone, Everest White Dual Tone, Red Rage, Aquamarine, Dark Grey, Everest White, D Sat Silver, Napoli Black and Blazing Bronze. 
Seating Capacity: It can seat up to 5 passengers. 
Engine and Transmission: Mahindra offers three engine options for the XUV300, including two petrol and one diesel engine: a 1.2-litre turbo-petrol unit (110 PS / 200 Nm), 1.5-litre diesel engine (117 PS / 300 Nm) and a TGDI 1.2-litre turbo-petrol engine (130 PS / up to 250 Nm). All these engines are mated to a 6-speed manual, while the diesel engine and the turbo-petrol also get a 6-speed AMT option. 
Features: Key features include a 7-inch touchscreen infotainment system with Android Auto and Apple CarPlay, a sunroof, and cruise control. Mahindra has also provided it with dual-zone AC, rain-sensing wipers, and connected car tech. 
Safety: It gets up to six airbags, corner braking control, and front and rear parking sensors. 
Rivals: The XUV300 competes with the Nissan Magnite, Hyundai Venue, Renault Kiger, Tata Nexon, Kia Sonet, Maruti Suzuki Brezza, Maruti Fronx, and the Skoda sub-4m SUV. 
2024 Mahindra XUV300: The Mahindra XUV300 facelift has been spied again, ahead of the launch."
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/FRONX/9243/1697697928533/front-left-side-47.jpg?tr=w-664,Maruti FRONX,Rs.7.51 - 13.04 Lakh,"ARAI Mileage : 20.01 kmpl
Fuel Type : Petrol
Engine Displacement : 998 cc
No. of Cylinders : 3
Max Power : 98.69bhp@5500rpm
Max Torque : 147.6Nm@2000-4500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 308 Litres
Fuel Tank Capacity : 37 Litres
Body Type : SUV","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: Maruti is offering the Fronx with discounts of up to Rs 32,000 this March. 
Price: The Fronx is priced between Rs 7.52 lakh and Rs 13.04 lakh (ex-showroom Delhi). 
Variants: It is available in five broad variants: Sigma, Delta, Delta+, Zeta, and Alpha. The CNG powertrain is offered in the Sigma and Delta trims. 
Seating Capacity: The Fronx is a 5-seater crossover. 
Colour Options: It is available in three dual-tone and seven monotone colours: Earthen Brown with bluish black roof, Opulent Red with bluish black roof, Splendid Silver with bluish black roof, Nexa Blue, Earthen Brown, Arctic White, Opulent Red, Grandeur Grey, Bluish Black, and Splendid Silver. 
Boot Space: The Fronx offers a boot space of 308 litres. 
Engine and Transmission: Maruti has provided the Fronx with two engine options: 
 
  A 1-litre turbo-petrol engine (100 PS/148 Nm) with mild-hybrid technology, paired with a 5-speed manual or a 6-speed automatic.  
  A 1.2-litre Dualjet petrol engine (90 PS/113 Nm), available with either a 5-speed manual or a 5-speed AMT.  
 
The CNG variants use the 1.2-litre engine, producing 77.5 PS and 98.5 Nm, and are paired with a 5-speed manual. 
Claimed Fuel Efficiency: 
 
  1-litre MT: 21.5 kmpl  
  1-litre AT: 20.1 kmpl  
  1.2-litre MT: 21.79 kmpl  
  1.2-litre AMT: 22.89 kmpl  
  1.2-litre CNG: 28.51 km/kg  
 
Features: Key features include a 9-inch infotainment system with wireless Android Auto and Apple CarPlay, a heads-up display, cruise control, and auto climate control. 
Safety: The Fronx gets up to six airbags, electronic stability program (ESP), hill-hold assist, a 360-degree camera, and ISOFIX child seat anchors. 
Rivals: It takes on subcompact SUVs like the Kia Sonet, Hyundai Venue, Tata Nexon, Mahindra XUV300, Renault Kiger, Nissan Magnite, and Maruti Brezza, as well as the Citroen C3 and Hyundai Exter. It will also rival the Skoda sub-4m SUV. 
Maruti Suzuki Fronx EV: An electric version, the Maruti Suzuki Fronx EV, is currently in development."
