image,name,price,description,features,latestUpdates,category,color,minPrice,maxPrice
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Swift/10406/1697698080681/front-left-side-47.jpg?tr=w-664,Maruti Swift,Rs.5.99 - 9.03 Lakh,"ARAI Mileage : 22.56 kmpl
Fuel Type : Petrol
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 88.50bhp@6000rpm
Max Torque : 113Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 268 Litres
Fuel Tank Capacity : 37 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: The Maruti Swift can be had with savings of up to Rs 47,000 this March. 
Price: The Maruti Swift is priced between Rs 5.99 lakh and Rs 9.03 lakh (ex-showroom Delhi). 
Variants: Maruti offers it in four broad variants: LXi, VXi, ZXi, and ZXi+. The VXi and ZXi trims also offer a CNG option. 
Colour Options: It comes in three dual-tone and seven monotone shades, including Solid Fire Red with pearl midnight black roof, Pearl Metallic Midnight Blue with pearl arctic white roof, Pearl Arctic White with pearl midnight black roof, Metallic Magma Grey, Pearl Midnight Black, Pearl Arctic White, Metallic Silky Silver, Solid Fire Red, Pearl Metallic Midnight Blue, and Pearl Metallic Lucent Orange. 
Boot Space: The Swift features a boot space of 268 litres. 
Engine and Transmission: The Maruti Swift is equipped with a 1.2-litre petrol engine (90 PS/113 Nm), available with either a 5-speed manual or a 5-speed AMT. The CNG variants produce 77.5 PS/98.5 Nm, and are available only with a 5-speed manual. The Swift includes an idle start/stop function for enhanced fuel efficiency. 
Claimed Fuel Efficiency: 
 
  1.2-litre MT: 22.38 kmpl  
  1.2-litre AMT: 22.56 kmpl  
  CNG MT: 30.90 km/kg  
 
Features: Key features of the Maruti Suzuki include a 7-inch touchscreen infotainment system, height-adjustable driver seat, cruise control, and auto AC. 
Safety: Safety kit comprises dual front airbags, ABS with EBD, electronic stability control (ESC) with hill-hold control, and rear parking sensors. 
Rivals: The Maruti Suzuki Swift competes with the Hyundai Grand i10 Nios. The Renault Triber is an alternative due to its pricing. The Triber is also a sportier option compared to the Maruti Wagon R and Maruti Ignis. 
2024 Maruti Swift: 2024 Maruti Suzuki Swift’s specifications have been revealed for the UK market.  Here are top 5 UK-spec features that would be segment first for the India-spec 2024 Maruti Swift.",hactchback,red,599000,903000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Baleno/10497/1697697558001/front-left-side-47.jpg?tr=w-664,Maruti Baleno,Rs.6.66 - 9.88 Lakh,"ARAI Mileage : 22.94 kmpl
City Mileage : 19 kmpl
Fuel Type : Petrol
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 88.50bhp@6000rpm
Max Torque : 113Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 318 Litres
Fuel Tank Capacity : 37 Litres
Body Type : Hatchback
Service Cost : Rs.5,289 Avg. of 5 years","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: Maruti has recalled over 4,000 units of the Baleno hatchback that were manufactured between July 30, 2019 and November 01, 2019. Maruti is offering the Baleno with discounts of up to Rs 57,000 this March. 
Price: The Maruti Baleno is priced between Rs 6.66 lakh and Rs 9.88 lakh (ex-showroom Delhi). 
Variants: The Baleno is available in four broad variants: Sigma, Delta, Zeta, and Alpha. 
Colour Options: Maruti offers seven monotone colour options for the Baleno: Nexa Blue, Arctic White, Grandeur Grey, Splendid Silver, Opulent Red, Luxe Beige, and Pearl Midnight Black. 
Boot Space: The Baleno has a boot space of 318 litres, which reduces to 55 litres in the CNG variants. 
Engine and Transmission: It is powered by a 1.2-litre petrol engine (90 PS/113 Nm), available with either a 5-speed manual or a 5-speed AMT. The CNG version of the same engine produces 77.5 PS and 98.5 Nm, and is available only with a 5-speed manual. The petrol engine features idle-start/stop technology. 
Claimed Fuel Efficiency: 
 
  1.2-litre MT: 22.35 kmpl  
  1.2-litre AMT: 22.94 kmpl  
  1.2-litre MT CNG: 30.61 km/kg  
 
Features: Key features include a 9-inch touchscreen infotainment system with Apple CarPlay and Android Auto, an Arkamys sound system with four speakers and two tweeters, a heads-up display, cruise control, automatic climate control, push-button start/stop, and keyless entry. 
Safety: Safety features comprise up to six airbags, ABS with EBD, electronic stability program (ESP), hill-hold assist, 3-point seatbelts for all passengers, ISOFIX anchorages, rear parking sensors, and a 360-degree camera. 
Rivals: The Maruti Baleno competes with the Hyundai i20, Tata Altroz, Citroen C3, and Toyota Glanza.",hactchback,blue,666000,988000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/i20/9471/1697696007962/front-left-side-47.jpg?tr=w-664,Hyundai i20,Rs.7.04 - 11.21 Lakh,"ARAI Mileage : 20 kmpl
Fuel Type : Petrol
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 86.76bhp@6000rpm
Max Torque : 114.7Nm@4200rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 351 Litres
Fuel Tank Capacity : 37 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Alloy Wheels
Multi-function Steering Wheel
Engine Start Stop Button","Latest Update: Hyundai offers benefits of up to Rs 25,000 on the i20 this February. 
Price: The i20 is priced between Rs 7.04 lakh and Rs 11.21 lakh (ex-showroom pan India). 
Variants: Hyundai offers it in six broad variants: Era, Magna, Sportz, Sportz (O), Asta, and Asta (O). 
Colour Options: The i20 comes in two dual-tone and six monotone exterior shades: Atlas White with abyss black roof, Fiery Red with abyss black roof, Amazon Grey, Fiery Red, Atlas White, Typhoon Silver, Starry Night, and Titan Grey. 
Engine and Transmission: It is powered by a 1.2-litre petrol engine producing 83 PS and 115 Nm. This unit is paired with either a 5-speed manual or a CVT (continuously variable transmission) automatic, with the latter providing 88 PS. 
If you are interested in a turbo-petrol engine option with the hatchback, consider the Hyundai i20 N Line. 
Features: Key features on board include a 10.25-inch touchscreen infotainment system with Apple CarPlay and Android Auto, an air purifier, auto LED headlights, a semi-digital driver’s display, and a sunroof. 
Safety: Safety features include six standard airbags, ISOFIX child seat anchorages, electronic stability control (ESC), hill assist control, vehicle stability management, and 3-point seatbelts for all passengers. 
Rivals: The Hyundai i20 competes with the Maruti Baleno, Toyota Glanza, and Tata Altroz. 
",hactchback,red,704000,1121000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Wagon-R/10365/1687580655855/front-left-side-47.jpg?tr=w-664,Maruti Wagon R,Rs.5.54 - 7.38 Lakh,"ARAI Mileage : 24.43 kmpl
Fuel Type : Petrol
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 88.50bhp@6000rpm
Max Torque : 113Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 341 Litres
Fuel Tank Capacity : 32 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Alloy Wheels
Multi-function Steering Wheel
Wheel Covers","Latest Update: Over 11,800 units of the Maruti Wagon R have been recalled, that were manufactured between July 30, 2019 and November 01, 2019. Maruti is offering the Wagon R with total savings of up to Rs 66,000 this March. 
Price: The Maruti Wagon R is priced between Rs 5.54 lakh and Rs 7.38 lakh (ex-showroom Delhi). 
Variants: It is offered in four broad variants: LXi, VXi, ZXi, and ZXi+. The LXi and VXi trims also offer a CNG option. 
Colour Options: Maruti offers two dual-tone and seven monotone colour choices for the Wagon R: Met Magma Grey with black roof, Gallant Red with black roof, Gallant Red, Poolside Blue, Superior White, Nutmeg Brown, Silky Silver, Midnight Black, and Magma Grey. 
Boot Space: It offers a boot capacity of 341 litres. 
Engine and Transmission: The Wagon R comes in two petrol engine options: 
 
  A 1-litre unit generating 67 PS and 89 Nm, available with either a 5-speed manual or a 5-speed AMT.  
  A 1.2-litre unit producing 90 PS and 113 Nm, also available with either a 5-speed manual or a 5-speed AMT.  
 
Claimed Fuel Efficiency: 
 
  1-litre MT: 24.35 kmpl  
  1-litre AMT: 25.19 kmpl  
  1-litre CNG: 34.05 km/kg  
  1.2-litre MT: 23.56 kmpl  
  1.2-litre AMT: 24.43 kmpl  
 
Features: Key features include a 7-inch touchscreen display, a 4-speaker music system, and steering-mounted audio and phone controls. 
Safety: Safety features comprise dual front airbags, ABS with EBD, rear parking sensors, and hill-hold assist (in AMT variants). 
Rivals: The Maruti Wagon R competes with the Maruti Celerio, Tata Tiago, and Citroen C3. 
Maruti Wagon R EV: The Wagon R EV is set to join Maruti's electric vehicle lineup.",hactchback,red,554000,738000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tiago/10655/1706791879838/front-left-side-47.jpg?tr=w-664,Tata Tiago,Rs.5.65 - 8.90 Lakh,"ARAI Mileage : 28.06 km/kg
Secondary Fuel Type : Petrol
Fuel Type : CNG
Engine Displacement : 1199 cc
No. of Cylinders : 3
Max Power : 72.41bhp@6000rpm
Max Torque : 95Nm@3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Fuel Tank Capacity : 60 Litres
Body Type : Hatchback
Ground Clearance Unladen : 168 mm","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Wheel Covers
Automatic Climate Control
Multi-function Steering Wheel","Latest Update: Tata has launched the CNG AMT variants of the Tiago. 
Price: The Tata Tiago is now priced from Rs 5.65 lakh to Rs 8.90 lakh (ex-showroom Delhi). 
Variants: It is available in 6 broad variants: XE, XM, XT(O), XT, XZ, and XZ+. 
Colour Options: The Tata offers 6 colours for the Tiago: Midnight Plum, Daytona Grey, Opal White, Arizona Blue, Tornado Blue, and Flame Red. 
Boot Space: It offers a boot space of 242 litres. 
Engine and Transmission: The Tata Tiago is powered by a 1.2-litre petrol engine (86 PS/113 Nm), available with either a 5-speed manual or a 5-speed AMT. In CNG mode, the engine produces 73.5 PS and 95 Nm, and is available with both transmisson options. 
Fuel Efficiency: 
 
  Petrol MT: 20.01 kmpl  
  Petrol AMT: 19.43 kmpl  
  CNG MT: 26.49 km/kg  
  CNG AMT: 28.06 km/kg  
 
Features: Key features include a 7-inch touchscreen infotainment system with Apple CarPlay and Android Auto, a digital driver’s display, an 8-speaker sound system, automatic climate control, and a cooled glovebox. 
Safety: Safety features include dual front airbags, rear parking sensors, ABS with EBD, and cornering stability control. 
Rivals: Competes with the Maruti Suzuki Celerio, Wagon R, and Citroen C3. 
Tata Tiago EV: The Tata Tiago EV has received a price cut, now more affordable by up to Rs 70,000.",hactchback,blue,565000,890000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Altroz/10707/1706784476472/front-left-side-47.jpg?tr=w-664,Tata Altroz,Rs.6.65 - 10.80 Lakh,"ARAI Mileage : 23.64 kmpl
Fuel Type : Diesel
Engine Displacement : 1497 cc
No. of Cylinders : 4
Max Power : 88.77bhp@4000rpm
Max Torque : 200Nm@1250-3000rpm
Seating Capacity : 5
Transmission Type : Manual
Boot Space : 345 Litres
Fuel Tank Capacity : 37 Litres
Body Type : Hatchback
Ground Clearance Unladen : 165 mm","Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel
Engine Start Stop Button","Price: The Altroz is priced between Rs 6.65 lakh and Rs 10.80 lakh (ex-showroom Delhi). 
Variants: It is sold in six broad variants: XE, XM, XM+, XT, XZ, and XZ+. 
Colour Options: Tata offers six monotone colour options for the Altroz: Harbour Blue, Downtown Red, Arcade Grey, Avenue White, Opera Blue, and High Street Gold.  
Boot Space: Its petrol and diesel variants offer a boot space of 345 litres while the CNG variants have a boot space of 210 litres. 
Engine and Transmission: The Tata Altroz comes with three engine options:  
 
  A 1.2-litre naturally aspirated petrol unit (88 PS/115 Nm),   
  A 1.2-litre turbo-petrol (110 PS/140 Nm) and   
  A 1.5-litre diesel (90 PS/200 Nm).   
 
All three engines are paired with a 5-speed manual transmission as standard, while the naturally aspirated petrol engine also comes with a 6-speed dual-clutch transmission (DCT). The CNG variants use the 1.2-litre naturally aspirated petrol engine paired with a 5-speed manual only. This engine produces 73.5 PS and 103 Nm. 
Here are the claimed mileage figures of the Altroz: 
 
  Altroz Petrol MT: 19.33 kmpl  
  Altroz Diesel: 23.64 kmpl  
  Altroz Turbo: 18.50 kmpl  
  Altroz CNG: 26.20 km/kg  
 
Features: Key features include a 7-inch touchscreen infotainment system, a semi-digital instrument cluster, ambient lighting, cruise control, and a single-pane sunroof. Tata also offers multiple customisation options for the Altroz. 
Safety: Its safety kit includes dual front airbags, ISOFIX child-seat anchors, auto park lock (DCT only) and rear parking sensors. 
Rivals: It rivals the Hyundai i20, Maruti Suzuki Baleno and Toyota Glanza. 
Tata Altroz Racer: Tata has confirmed that it will launch the Altroz Racer soon.",hactchback,blue,665000,1080000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Alto-K10/10331/1687349000534/front-left-side-47.jpg?tr=w-664,Maruti Alto K10,Rs.3.99 - 5.96 Lakh,"ARAI Mileage : 33.85 km/kg
Fuel Type : CNG
Engine Displacement : 998 cc
No. of Cylinders : 3
Max Power : 55.92bhp@5300rpm
Max Torque : 82.1Nm@3400rpm
Seating Capacity : 4, 5
Transmission Type : Manual
Fuel Tank Capacity : 55 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Multi-function Steering Wheel","Latest Update: Maruti is offering discounts of up to Rs 67,000 on the Alto K10 this March. 
Price: The Maruti Alto K10 is priced from Rs 3.99 lakh to Rs 5.96 lakh (ex-showroom Delhi). 
Variants: Maruti offers four broad variants for the K10: Std, LXi, VXi, and VXi+. The base LXi, VXi trims are also available with a CNG kit option. 
Colour Options: It comes in seven monotone colour options for the Alto K10: Metallic Sizzling Red, Metallic Silky Silver, Metallic Granite Grey, Metallic Speedy Blue, Premium Earth Gold, Pearl Midnight Black, and Solid White. 
Boot Space: The Alto K10 provides a boot space of 214 litres. 
Engine and Transmission: It is powered with a 1-litre Dualjet petrol engine producing 67 PS and 89 Nm. This engine can be paired with either a 5-speed manual or a 5-speed AMT. Additionally, there is a CNG variant available with an output of 57 PS and 82 Nm, exclusively paired with a 5-speed manual transmission. The CNG variant also includes idle engine start/stop technology. 
Claimed Fuel Efficiency: 
 
  Petrol MT: 24.39 kmpl  
  Petrol AMT: 24.90 kmpl  
  LXi CNG: 33.40 km/kg  
  VXi CNG: 33.85 km/kg  
 
Features: Key features on board include a 7-inch touchscreen infotainment system supporting Apple CarPlay and Android Auto, keyless entry, a semi-digital instrument cluster, steering-mounted controls, and manually adjustable Outer Rear-View Mirrors (ORVMs). 
Safety: Safety features encompass dual front airbags, ABS with EBD, a reversing camera, and rear parking sensors. 
Rivals: The Alto K10 competes directly with the Renault Kwid and can be considered an alternative to the Maruti S-Presso due to its pricing.",hactchback,red,399000,596000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Alto-800/10327/1687348176706/front-left-side-47.jpg?tr=w-664,Maruti Alto,Rs.3.54 - 5.13 Lakh,"ARAI Mileage : 31.59 km/kg
Fuel Type : CNG
Engine Displacement : 796 cc
No. of Cylinders : 3
Max Power : 40.36bhp@6000rpm
Max Torque : 60Nm@3500rpm
Seating Capacity : 4, 5
Transmission Type : Manual
Fuel Tank Capacity : 60 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Wheel Covers","Latest Update: The Maruti Alto 800's existing inventory is available with savings of Rs 15,000 this March. 
Price: Towards the end of its lifecycle, the Maruti Alto was priced from Rs 3.54 lakh to Rs 5.13 lakh (ex-showroom Delhi). 
Variants: It came in four broad variants: Std, LXi, VXi, and VXi+. The base LXi (O) trim was also available with a CNG kit option. 
Colour Options: Maruti offered it in 6 colour options for the Alto 800: Uptown Red, Silky Silver, Granite Gray, Mojito Green, Cerulean Blue, and Solid White. 
Engine and Transmission: The Alto was powered with a 0.8-litre petrol engine that produces 48 PS and 69 Nm. It came with a 5-speed manual gearbox. In CNG mode, the engine's output was reduced to 41 PS and 60 Nm. The Alto 800 had a claimed mileage of 22.05 kmpl for petrol and 31.59 km/kg for CNG. 
Features: Key features on board included a 7-inch touchscreen infotainment system with Android Auto and Apple CarPlay support, keyless entry, and front power windows. 
Safety: Safety features included dual front airbags, rear parking sensors, and ABS with EBD. 
Rivals: The Maruti Alto rivalled the Renault Kwid.  
Maruti Alto K10: The Alto 800 has been discontinued, and the Alto K10 now serves as the entry-level hatchback from the carmaker.",hactchback,red,354000,513000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/KWID/10076/1705905595853/front-left-side-47.jpg?tr=w-664,Renault KWID,Rs.4.70 - 6.45 Lakh,"ARAI Mileage : 22.3 kmpl
City Mileage : 16 kmpl
Fuel Type : Petrol
Engine Displacement : 999 cc
No. of Cylinders : 3
Max Power : 67.06bhp@5500rpm
Max Torque : 91Nm@4250rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 279 Litres
Fuel Tank Capacity : 28 Litres
Body Type : Hatchback
Ground Clearance Unladen : 184 mm
Service Cost : Rs.2,125 Avg. of 5 years","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Wheel Covers
Multi-function Steering Wheel","Latest Update: The Renault Kwid is being offered with savings of over Rs 80,000 this March. 
Price: It is priced from Rs 4.70 lakh to Rs 6.45 lakh (ex-showroom Delhi). 
Variants: The Kwid is available in four broad variants: RXE, RXL (O), RXT, and Climber. 
Colour Options: Renault offers five monotone and five dual-tone shades for the Kwid: Ice Cool White, Fiery Red, Outback Bronze, Moonlight Silver, and Zanskar Blue. The dual-tone shades of the colours above come with a black roof. 
Engine and Transmission: The Renault Kwid uses a 1-litre petrol engine (68 PS / 91 Nm), available with either a 5-speed manual transmission or a 5-speed AMT. The latter is also available with the RXL (O) variant. 
Features: Key features include an 8-inch touchscreen infotainment system with Android Auto and Apple CarPlay, keyless entry, manual AC, and electrically adjustable ORVMs. 
Safety: Safety features include dual front airbags, ABS with EBD, rear parking sensors, electronic stability programme (ESP), hill start assist, a traction control system (TCS), and a tyre pressure monitoring system (TPMS). 
Rivals: The Renault Kwid competes with the Maruti Alto K10 and Maruti Suzuki S-Presso, with the Climber variant rivalling the Tata Punch.",hactchback,silver,470000,645000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Celerio/10356/1687520425516/front-left-side-47.jpg?tr=w-664,Maruti Celerio,Rs.5.37 - 7.09 Lakh,"ARAI Mileage : 26 kmpl
City Mileage : 19.02 kmpl
Fuel Type : Petrol
Engine Displacement : 998 cc
No. of Cylinders : 3
Max Power : 65.71bhp@5500rpm
Max Torque : 89Nm@3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 313 Litres
Fuel Tank Capacity : 32 Litres
Body Type : Hatchback","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Alloy Wheels
Multi-function Steering Wheel
Engine Start Stop Button","Latest Update: The Maruti Celerio is available with discounts of up to Rs 61,000 this March. 
Price: It is priced from Rs 5.37 lakh to Rs 7.10 lakh (ex-showroom Delhi). 
Variants: It is available in four variants: LXi, VXi, ZXi, and ZXi+. The CNG option starts from the VXi trim. 
Colour Options: The Maruti Celerio is offered in seven monotone colours: Caffeine Brown, Pearl Midnight Black, Glistening Grey, Silky Silver, Speedy Blue, Solid Fire Red, and Arctic White. 
Boot Space: The Celerio offers a boot space of 313 litres. 
Engine and Transmission: It is powered by a 1-litre petrol engine (67 PS/89 Nm), available with either a 5-speed manual or a 5-speed AMT. The CNG variant, available only with a 5-speed manual, produces 57 PS and 82 Nm, and has a 60-litre (water equivalent) CNG tank. 
Claimed Fuel Efficiency: 
 
  Petrol MT: 25.24 kmpl (VXi, LXi, ZXi), 24.97 kmpl (ZXi+)  
  Petrol AMT: 26.68 kmpl (VXi), 26 kmpl (ZXi, ZXi+)  
  CNG: 34.43 km/kg  
 
Features: Key features onboard include a 7-inch touchscreen, push-button start/stop, keyless entry, and manual AC. 
Safety: Safety features comprise dual front airbags, hill-hold assist, ABS with EBD, and rear parking sensors. 
Rivals: The Maruti Celerio competes with the Tata Tiago, Maruti Wagon R, and Citroen C3.",hactchback,blue,537000,709000
